timeindex,Mid-pv-profile,South-pv-profile,North-pv-profile
2016-01-05T06:00:00Z,0,0,0
2016-01-05T07:00:00Z,0,0.008726390999405,0
2016-01-05T08:00:00Z,0.004525425001651,0.120104570953727,0
2016-01-05T09:00:00Z,0.024062568240053,0.372771697473203,0.019949284485663
2016-01-05T10:00:00Z,0.040914076330714,0.547449836073251,0.039405994045754
2016-01-05T11:00:00Z,0.051560174272351,0.621662398513337,0.041868868673614
2016-01-05T12:00:00Z,0.058044224793441,0.642891605991489,0.020934434336807
2016-01-05T13:00:00Z,0.040512019903442,0.635895197613907,0.006896048958007
2016-01-05T14:00:00Z,0.017408788834792,0.591487915039421,0.000492574925572
2016-01-05T15:00:00Z,0.000375846419672,0.462894298263065,0
2016-01-05T16:00:00Z,0,0.2161397038139,0
2016-01-05T17:00:00Z,0,0.039320184285622,0
2016-01-05T18:00:00Z,0,0.00124474359375,0
2016-01-05T19:00:00Z,0,0,0
2016-01-05T20:00:00Z,0,0,0
2016-01-05T21:00:00Z,0,0,0
2016-01-05T22:00:00Z,0,0,0
2016-01-05T23:00:00Z,0,0,0
2016-01-06T00:00:00Z,0,0,0
2016-01-06T01:00:00Z,0,0,0
2016-01-06T02:00:00Z,0,0,0
2016-01-06T03:00:00Z,0,0,0
2016-01-06T04:00:00Z,0,0,0
2016-01-06T05:00:00Z,0,0,0
2016-01-06T06:00:00Z,0,0,0
2016-01-06T07:00:00Z,0,0.00973378941638,0
2016-01-06T08:00:00Z,0.011635462112038,0.130682254331971,0
2016-01-06T09:00:00Z,0.033175253504005,0.382065079728236,0.007142336420793
2016-01-06T10:00:00Z,0.050171807267796,0.553396651335765,0.020441859411235
2016-01-06T11:00:00Z,0.057968139431571,0.623347549268435,0.025860183592526
2016-01-06T12:00:00Z,0.064250652806838,0.649793076298362,0.026106471055312
2016-01-06T13:00:00Z,0.043387741222811,0.64286259713655,0.010097785974225
2016-01-06T14:00:00Z,0.017583098108641,0.598442128718911,0.000738862388358
2016-01-06T15:00:00Z,0.000505369661116,0.468427078050538,0
2016-01-06T16:00:00Z,0,0.21916981057072,0
2016-01-06T17:00:00Z,0,0.038832308088919,0
2016-01-06T18:00:00Z,0,0.001157717028933,0
2016-01-06T19:00:00Z,0,0,0
2016-01-06T20:00:00Z,0,0,0
2016-01-06T21:00:00Z,0,0,0
2016-01-06T22:00:00Z,0,0,0
2016-01-06T23:00:00Z,0,0,0
2016-01-07T00:00:00Z,0,0,0
2016-01-07T01:00:00Z,0,0,0
2016-01-07T02:00:00Z,0,0,0
2016-01-07T03:00:00Z,0,0,0
2016-01-07T04:00:00Z,0,0,0
2016-01-07T05:00:00Z,0,0,0
2016-01-07T06:00:00Z,0,0,0
2016-01-07T07:00:00Z,0,0.009973771761785,0
2016-01-07T08:00:00Z,0.010201545676798,0.128656908823496,0
2016-01-07T09:00:00Z,0.03878699425757,0.381782902684737,0.002216587165074
2016-01-07T10:00:00Z,0.060863963572303,0.551679854557097,0.01280694806487
2016-01-07T11:00:00Z,0.07294245115262,0.622129177360993,0.018964134634519
2016-01-07T12:00:00Z,0.087100944578838,0.646037748168065,0.013545810453228
2016-01-07T13:00:00Z,0.059096187622772,0.641420065895488,0.00246287462786
2016-01-07T14:00:00Z,0.031526313220002,0.596382500018235,0
2016-01-07T15:00:00Z,0.004481911299712,0.467237714998036,0
2016-01-07T16:00:00Z,0,0.213407597112364,0
2016-01-07T17:00:00Z,0,0.037078590949419,0
2016-01-07T18:00:00Z,0,0.001223646244703,0
2016-01-07T19:00:00Z,0,0,0
2016-01-07T20:00:00Z,0,0,0
2016-01-07T21:00:00Z,0,0,0
2016-01-07T22:00:00Z,0,0,0
2016-01-07T23:00:00Z,0,0,0
2016-01-08T00:00:00Z,0,0,0
2016-01-08T01:00:00Z,0,0,0
2016-01-08T02:00:00Z,0,0,0
2016-01-08T03:00:00Z,0,0,0
2016-01-08T04:00:00Z,0,0,0
2016-01-08T05:00:00Z,0,0,0
2016-01-08T06:00:00Z,0,0,0
2016-01-08T07:00:00Z,0,0.009633577008409,0
2016-01-08T08:00:00Z,0.027673187636613,0.132908024656389,0
2016-01-08T09:00:00Z,0.060780753159824,0.389501895267166,0.000246287462786
2016-01-08T10:00:00Z,0.07748365305205,0.561097183737778,0.001477724776716
2016-01-08T11:00:00Z,0.072772467802356,0.627250558842058,0.003448024479004
2016-01-08T12:00:00Z,0.074708954771686,0.65058422688761,0.004186886867361
2016-01-08T13:00:00Z,0.045175619993706,0.641227552585438,0.003940599404575
2016-01-08T14:00:00Z,0.019553174602274,0.59879287214681,0.000738862388358
2016-01-08T15:00:00Z,0.000633620572093,0.470325839464733,0
2016-01-08T16:00:00Z,0,0.219794819536226,0
2016-01-08T17:00:00Z,0,0.037170891851498,0
2016-01-08T18:00:00Z,0,0.001294849797736,0
2016-01-08T19:00:00Z,0,0,0
2016-01-08T20:00:00Z,0,0,0
2016-01-08T21:00:00Z,0,0,0
2016-01-08T22:00:00Z,0,0,0
2016-01-08T23:00:00Z,0,0,0
2016-01-09T00:00:00Z,0,0,0
2016-01-09T01:00:00Z,0,0,0
2016-01-09T02:00:00Z,0,0,0
2016-01-09T03:00:00Z,0,0,0
2016-01-09T04:00:00Z,0,0,0
2016-01-09T05:00:00Z,0,0,0
2016-01-09T06:00:00Z,0,0,0
2016-01-09T07:00:00Z,0,0.009886745196968,0
2016-01-09T08:00:00Z,0.006561917145612,0.128543510572371,0
2016-01-09T09:00:00Z,0.021753542910263,0.388966550035108,0.000246287462786
2016-01-09T10:00:00Z,0.035603877897603,0.562144139684216,0.002709162090646
2016-01-09T11:00:00Z,0.044851430190956,0.631011161309616,0.005910899106863
2016-01-09T12:00:00Z,0.092561786939129,0.65489336043038,0.007634911346365
