timeindex;s_be;s_bb;w_be;w_bb;h_bb;demand-profile-be;demand-profile-bb
2016-01-03 08:00:00;0.0705;0.0962;0.4477;0.4251;0.45;1258.60155;1450.9529949999999
2016-01-03 09:00:00;0.1575;0.1945;0.41600000000000004;0.4169;0.45;1353.527802;1560.3867779999998
2016-01-03 10:00:00;0.2297;0.2759;0.4183;0.3917;0.45;1438.810751;1658.703478
2016-01-03 11:00:00;0.2479;0.2971;0.4183;0.385;0.45;1539.16136;1774.3906190000002
2016-01-03 12:00:00;0.2169;0.2594;0.46299999999999997;0.4033;0.45;1469.548775;1694.139179
2016-01-03 13:00:00;0.1369;0.1636;0.4774;0.4083;0.45;1394.361157;1607.460675
2016-01-03 14:00:00;0.0316;0.0379;0.4083;0.3595;0.45;1391.6489789999998;1604.333995
2016-01-03 15:00:00;0.0;0.0;0.4437;0.3791;0.45;1432.633011;1651.581596
2016-01-03 16:00:00;0.0;0.0;0.4933;0.4007;0.45;1517.313254;1749.203479
2016-01-03 17:00:00;0.0;0.0;0.5027;0.401;0.45;1593.1035789999999;1836.5768
2016-01-03 18:00:00;0.0;0.0;0.4853;0.3802;0.45;1651.566095;1903.974114
2016-01-03 19:00:00;0.0;0.0;0.4381;0.3629;0.45;1605.157706;1850.473154
2016-01-03 20:00:00;0.0;0.0;0.4083;0.349;0.45;1535.846475;1770.5691219999999
2016-01-03 21:00:00;0.0;0.0;0.3921;0.3419;0.45;1471.356894;1696.223632
2016-01-03 22:00:00;0.0;0.0;0.3947;0.3315;0.45;1416.661292;1633.1689279999998
2016-01-03 23:00:00;0.0;0.0;0.3871;0.3283;0.45;1330.022254;1533.288888
2016-01-04 00:00:00;0.0;0.0;0.3867;0.3239;0.45;1294.010549;1491.773533
2016-01-04 01:00:00;0.0;0.0;0.3761;0.32;0.45;1273.217179;1467.8023230000001
2016-01-04 02:00:00;0.0;0.0;0.3533;0.3101;0.45;1246.848776;1437.40405
2016-01-04 03:00:00;0.0;0.0;0.34600000000000003;0.3024;0.45;1231.9317939999999;1420.207313
2016-01-04 04:00:00;0.0;0.0;0.2811;0.293;0.45;1253.177193;1444.6996359999998
2016-01-04 05:00:00;0.0;0.0;0.28300000000000003;0.2965;0.45;1337.405406;1541.8004050000002
2016-01-04 06:00:00;0.0;0.0;0.293;0.2926;0.45;1527.257909;1760.66797
2016-01-04 07:00:00;0.0029;0.0038;0.2907;0.2849;0.45;1740.314606;2006.286016
2016-01-04 08:00:00;0.0311;0.0404;0.3397;0.3004;0.45;1792.900736;2066.908857
2016-01-04 09:00:00;0.0569;0.078;0.4064;0.3019;0.45;1813.694105;2090.880067
2016-01-04 10:00:00;0.0818;0.1046;0.3509;0.27899999999999997;0.45;1809.625837;2086.190048
2016-01-04 11:00:00;0.0963;0.1121;0.3171;0.2496;0.45;1838.706419;2119.715
2016-01-04 12:00:00;0.0765;0.0908;0.2736;0.2211;0.45;1835.391534;2115.8935030000002
2016-01-04 13:00:00;0.0336;0.046;0.2154;0.1874;0.45;1794.708855;2068.9933100000003
2016-01-04 14:00:00;0.0044;0.0066;0.139;0.1398;0.45;1785.6682600000001;2058.571045
2016-01-04 15:00:00;0.0;0.0;0.1543;0.1454;0.45;1785.21623;2058.049932
2016-01-04 16:00:00;0.0;0.0;0.177;0.1642;0.45;1825.898909;2104.950125
2016-01-04 17:00:00;0.0;0.0;0.1823;0.1696;0.45;1909.825769;2201.703485
2016-01-04 18:00:00;0.0;0.0;0.1746;0.1629;0.45;1916.756892;2209.693888
2016-01-04 19:00:00;0.0;0.0;0.1726;0.1548;0.45;1879.991805;2167.31001
2016-01-04 20:00:00;0.0;0.0;0.1656;0.1479;0.45;1767.135039;2037.205402
2016-01-04 21:00:00;0.0;0.0;0.1621;0.1438;0.45;1657.743835;1911.095995
2016-01-04 22:00:00;0.0;0.0;0.1657;0.1477;0.45;1611.938152;1858.2898530000002
2016-01-04 23:00:00;0.0;0.0;0.1691;0.1552;0.45;1487.3286130000001;1714.6363
2016-01-05 00:00:00;0.0;0.0;0.1789;0.1636;0.45;1410.483552;1626.047047
2016-01-05 01:00:00;0.0;0.0;0.1987;0.1718;0.45;1375.827937;1586.095031
2016-01-05 02:00:00;0.0;0.0;0.2334;0.1805;0.45;1344.33653;1549.790808
2016-01-05 03:00:00;0.0;0.0;0.2637;0.1869;0.45;1367.540724;1576.5412880000001
2016-01-05 04:00:00;0.0;0.0;0.24600000000000002;0.1856;0.45;1389.38883;1601.728429
2016-01-05 05:00:00;0.0;0.0;0.2291;0.1841;0.45;1468.795392;1693.270657
2016-01-05 06:00:00;0.0;0.0;0.21899999999999997;0.1806;0.45;1621.882807;1869.7543440000002
2016-01-05 07:00:00;0.0011;0.0019;0.2194;0.1848;0.45;1818.817109;2096.7860170000004
2016-01-05 08:00:00;0.0183;0.027000000000000003;0.2319;0.1956;0.45;1878.334362;2165.399262
2016-01-05 09:00:00;0.0344;0.0521;0.2264;0.1866;0.45;1898.675702;2188.849358
2016-01-05 10:00:00;0.045;0.0662;0.2104;0.1731;0.45;1920.674484;2214.210203
2016-01-05 11:00:00;0.0467;0.0639;0.1959;0.1643;0.45;1954.727393;2253.4674010000003
2016-01-05 12:00:00;0.0392;0.0502;0.2011;0.161;0.45;1909.9764460000001;2201.8771890000003
2016-01-05 13:00:00;0.0192;0.0272;0.2009;0.1584;0.45;1877.2796260000002;2164.1833309999997
2016-01-05 14:00:00;0.0016;0.0034;0.1921;0.1547;0.45;1858.445052;2142.470279
2016-01-05 15:00:00;0.0;0.0;0.1911;0.1531;0.45;1856.0342269999999;2139.691008
2016-01-05 16:00:00;0.0;0.0;0.1977;0.1491;0.45;1887.2242809999998;2175.647822
2016-01-05 17:00:00;0.0;0.0;0.1959;0.1411;0.45;1913.291331;2205.698687
2016-01-05 18:00:00;0.0;0.0;0.1899;0.1328;0.45;1922.934632;2216.8157690000003
2016-01-05 19:00:00;0.0;0.0;0.1829;0.1251;0.45;1932.2765809999999;2227.585443
2016-01-05 20:00:00;0.0;0.0;0.1823;0.1194;0.45;1819.269139;2097.30713
2016-01-05 21:00:00;0.0;0.0;0.1817;0.1164;0.45;1690.8926850000003;1949.3109670000001
2016-01-05 22:00:00;0.0;0.0;0.1743;0.1115;0.45;1639.511968;1890.077761
2016-01-05 23:00:00;0.0;0.0;0.1623;0.1059;0.45;1534.7917380000001;1769.353191
2016-01-06 00:00:00;0.0;0.0;0.1514;0.0968;0.45;1463.220359;1686.843593
2016-01-06 01:00:00;0.0;0.0;0.1463;0.0921;0.45;1415.154527;1631.431884
2016-01-06 02:00:00;0.0;0.0;0.142;0.0906;0.45;1396.470629;1609.8925359999998
2016-01-06 03:00:00;0.0;0.0;0.1357;0.0881;0.45;1407.620697;1622.7466630000001
